Unnamed: 0,Product ID,Product Name,Category,Price
9,10,Product 10,Home Goods,433.14
99,100,Product 100,Sports,110.44
999,1000,Product 1000,Home Goods,377.22
9999,10000,Product 10000,Books,353.37
1000,1001,Product 1001,Books,309.21
1001,1002,Product 1002,Electronics,441.0
1002,1003,Product 1003,Home Goods,271.9
1003,1004,Product 1004,Books,251.84
1004,1005,Product 1005,Clothing,494.31
1005,1006,Product 1006,Home Goods,150.66
1006,1007,Product 1007,Clothing,361.87
1007,1008,Product 1008,Electronics,498.71
1008,1009,Product 1009,Books,121.31
100,101,Product 101,Clothing,138.01
1009,1010,Product 1010,Home Goods,392.12
1010,1011,Product 1011,Electronics,356.19
1011,1012,Product 1012,Clothing,349.71
1012,1013,Product 1013,Sports,498.53
1013,1014,Product 1014,Clothing,259.7
1014,1015,Product 1015,Electronics,202.92
1015,1016,Product 1016,Sports,446.55
1016,1017,Product 1017,Electronics,371.24
1017,1018,Product 1018,Clothing,437.17
1018,1019,Product 1019,Home Goods,357.34
101,102,Product 102,Home Goods,105.7
1019,1020,Product 1020,Electronics,269.84
1020,1021,Product 1021,Sports,168.08
1021,1022,Product 1022,Home Goods,361.47
1022,1023,Product 1023,Sports,320.66
1023,1024,Product 1024,Clothing,110.74
1024,1025,Product 1025,Home Goods,170.74
1025,1026,Product 1026,Clothing,200.04
1026,1027,Product 1027,Home Goods,38.38
1027,1028,Product 1028,Home Goods,61.01
1028,1029,Product 1029,Clothing,197.94
102,103,Product 103,Sports,233.1
1029,1030,Product 1030,Clothing,73.03
1030,1031,Product 1031,Electronics,302.94
1031,1032,Product 1032,Sports,129.74
1032,1033,Product 1033,Books,441.42
1033,1034,Product 1034,Sports,74.08
1034,1035,Product 1035,Electronics,204.41
1035,1036,Product 1036,Home Goods,74.23
1036,1037,Product 1037,Books,260.21
1037,1038,Product 1038,Home Goods,116.46
1038,1039,Product 1039,Sports,394.33
103,104,Product 104,Home Goods,111.31
1039,1040,Product 1040,Home Goods,68.74
1040,1041,Product 1041,Clothing,94.6
1041,1042,Product 1042,Clothing,250.51
1042,1043,Product 1043,Electronics,430.96
1043,1044,Product 1044,Home Goods,63.93
1044,1045,Product 1045,Electronics,21.23
1045,1046,Product 1046,Clothing,130.19
1046,1047,Product 1047,Clothing,387.6
1047,1048,Product 1048,Electronics,412.36
1048,1049,Product 1049,Electronics,406.74
104,105,Product 105,Electronics,309.99
1049,1050,Product 1050,Sports,471.72
1050,1051,Product 1051,Books,424.89
1051,1052,Product 1052,Clothing,91.2
1052,1053,Product 1053,Clothing,70.41
1053,1054,Product 1054,Clothing,433.46
1054,1055,Product 1055,Clothing,122.17
1055,1056,Product 1056,Sports,423.81
1056,1057,Product 1057,Clothing,305.39
1057,1058,Product 1058,Electronics,499.68
1058,1059,Product 1059,Books,19.82
105,106,Product 106,Home Goods,370.94
1059,1060,Product 1060,Clothing,302.1
1060,1061,Product 1061,Sports,69.6
1061,1062,Product 1062,Clothing,226.57
1062,1063,Product 1063,Electronics,479.53
1063,1064,Product 1064,Clothing,48.96
1064,1065,Product 1065,Electronics,219.75
1065,1066,Product 1066,Clothing,220.29
1066,1067,Product 1067,Electronics,279.68
1067,1068,Product 1068,Books,496.65
1068,1069,Product 1069,Sports,54.15
106,107,Product 107,Home Goods,255.24
1069,1070,Product 1070,Books,192.81
1070,1071,Product 1071,Home Goods,296.31
1071,1072,Product 1072,Books,26.87
1072,1073,Product 1073,Home Goods,96.46
1073,1074,Product 1074,Books,42.54
1074,1075,Product 1075,Clothing,379.54
1075,1076,Product 1076,Electronics,419.5
1076,1077,Product 1077,Electronics,395.89
1077,1078,Product 1078,Electronics,25.35
1078,1079,Product 1079,Electronics,466.75
107,108,Product 108,Electronics,94.7
1079,1080,Product 1080,Sports,407.52
1080,1081,Product 1081,Sports,402.42
1081,1082,Product 1082,Home Goods,463.12
1082,1083,Product 1083,Sports,84.38
1083,1084,Product 1084,Books,207.89
1084,1085,Product 1085,Books,200.29
1085,1086,Product 1086,Clothing,222.65
1086,1087,Product 1087,Clothing,482.76
1087,1088,Product 1088,Books,398.15
1088,1089,Product 1089,Clothing,68.22
108,109,Product 109,Clothing,105.09
1089,1090,Product 1090,Sports,360.67
1090,1091,Product 1091,Electronics,460.77
1091,1092,Product 1092,Electronics,133.19
1092,1093,Product 1093,Home Goods,155.36
1093,1094,Product 1094,Home Goods,390.36
1094,1095,Product 1095,Sports,396.46
1095,1096,Product 1096,Sports,70.9
1096,1097,Product 1097,Clothing,389.18
1097,1098,Product 1098,Home Goods,402.92
1098,1099,Product 1099,Books,406.61
